Erythroid,T,B,GMP,Myeloid
0.1474371,0.21624026,0.23752375,0.27823246,0.12056641
0.08914816,0.3162551,0.2579836,0.04337008,0.29324302
0.42153403,0.22222117,0.104877785,0.038870476,0.21249656
0.24464123,0.18697616,0.14296919,0.20633039,0.21908307
0.25895405,0.10533802,0.12471272,0.23685005,0.27414513
0.14525488,0.14892846,0.07003724,0.44267672,0.1931026
0.16775592,0.3542499,0.044948965,0.32327753,0.10976765
0.17680977,0.2476528,0.19171761,0.06557847,0.3182413
0.21155529,0.07675609,0.3450093,0.13226154,0.23441775
0.31888637,0.11431179,0.14869055,0.12713349,0.29097784
0.33246905,0.124932505,0.27352887,0.14477435,0.12429515
0.12050825,0.28690243,0.31768376,0.092298225,0.18260735
0.30886254,0.17105316,0.2572458,0.10800616,0.15483233
0.11087909,0.28719848,0.2055175,0.25862333,0.13778159
0.1685334,0.2747309,0.2609035,0.26716426,0.02866792
0.19727144,0.17839067,0.2460713,0.16771898,0.2105477
0.15157306,0.36114544,0.16930765,0.06538571,0.2525881
0.24942614,0.11528014,0.06879542,0.26408923,0.302409
0.23312211,0.0999912,0.11088708,0.25903136,0.29696825
0.17184411,0.075277716,0.20292602,0.26663634,0.28331578
0.1829307,0.27495462,0.056879066,0.36843795,0.11679765
0.421993,0.051978964,0.11845147,0.22594364,0.18163289
0.18426652,0.27828205,0.072151154,0.21328303,0.25201723
0.2460864,0.18187687,0.16176614,0.12782533,0.28244522
0.12860645,0.15647095,0.14978462,0.3099973,0.25514066
0.17360535,0.23279575,0.262908,0.16009176,0.17059915
0.19889224,0.37095845,0.12161771,0.18290424,0.1256274
0.25350243,0.13146254,0.11048987,0.28229913,0.22224604
0.19174351,0.43982983,0.19918166,0.06588615,0.10335879
0.25106874,0.02258067,0.14493144,0.3479463,0.23347288
0.13966234,0.3268854,0.2557075,0.09914334,0.17860143
0.14433895,0.26512003,0.3735361,0.082473636,0.13453123
0.32053742,0.04661205,0.1513768,0.19981311,0.2816606
0.20550045,0.14048171,0.2892915,0.08749048,0.27723584
0.30476782,0.16097991,0.3107636,0.06216598,0.1613227
0.10930865,0.36647955,0.1540557,0.16097392,0.20918214
0.13173494,0.18665072,0.23813905,0.32693377,0.11654151
0.22288018,0.2629085,0.059380602,0.38871542,0.06611536
0.12039389,0.26525962,0.046335228,0.4820996,0.08591169
0.174542,0.11272821,0.056416806,0.43284702,0.22346596
0.10590109,0.29691446,0.40705332,0.095863886,0.0942672
0.26391357,0.049033705,0.19554222,0.29242057,0.19908991
0.16961762,0.29733378,0.21372984,0.18133172,0.13798705
0.09065381,0.14986369,0.027586998,0.64625835,0.085637175
0.162754,0.41686302,0.07849132,0.13023333,0.21165828
0.2842699,0.037404962,0.2743293,0.2896492,0.11434657
0.065090604,0.09391232,0.65786606,0.048791785,0.13433927
0.23823404,0.08048718,0.22448102,0.18463531,0.2721624
0.06676727,0.23497139,0.23660272,0.38635048,0.07530813
0.15123644,0.14590174,0.41103467,0.21828733,0.07353983
0.2629043,0.08135965,0.26714322,0.068946205,0.3196466
0.11236588,0.26448432,0.24881355,0.15974897,0.21458732
0.121887326,0.22249427,0.24914981,0.20249142,0.20397718
0.3667194,0.25312337,0.03125091,0.18838494,0.16052139
0.36463434,0.09596224,0.11372865,0.037670046,0.38800466
0.18236686,0.18578799,0.2910839,0.20110886,0.13965236
0.27677265,0.2984198,0.06627347,0.19902249,0.15951163
0.15349424,0.26011765,0.18784371,0.32645547,0.072088875
0.2954745,0.040071003,0.24559647,0.34970462,0.069153465
0.18277961,0.2770201,0.13691796,0.25243825,0.15084408
0.05050853,0.28035748,0.23587301,0.3566029,0.076658055
0.21681888,0.09897329,0.21202387,0.19811483,0.27406913
0.16071153,0.28810054,0.10951011,0.21002808,0.23164976
0.2794758,0.2214318,0.10074513,0.14732766,0.2510196
0.28575572,0.15699574,0.2902706,0.2105315,0.056446448
0.11880192,0.03034279,0.11423077,0.3327328,0.40389165
0.20237641,0.18169005,0.19659552,0.30244246,0.116895534
0.14200884,0.3654558,0.27662283,0.1574659,0.05844667
0.1339473,0.22506976,0.24655813,0.28406632,0.11035856
0.13063774,0.18396442,0.25865704,0.23039792,0.19634284
0.29481533,0.074951336,0.27247408,0.1389694,0.21878986
0.13704117,0.31687555,0.088292934,0.30611745,0.15167299
0.23597457,0.2308033,0.13622531,0.27372092,0.12327587
0.37056762,0.19717944,0.060278296,0.071433246,0.30054143
0.22323059,0.17291056,0.26224652,0.14118518,0.20042714
0.09155089,0.23891056,0.44976532,0.0758221,0.14395116
0.237761,0.08092253,0.19047897,0.13576184,0.35507563
0.31565815,0.16750845,0.19307287,0.29125002,0.032510437
0.24256754,0.18142873,0.16370091,0.13009728,0.28220558
0.27632394,0.2696637,0.23289639,0.10619399,0.11492203
0.19743574,0.1836117,0.40728343,0.10300728,0.10866185
0.12070877,0.25540155,0.38081637,0.13949603,0.10357733
0.17758135,0.18686134,0.19021207,0.18363981,0.26170537
0.2471941,0.2805721,0.3117727,0.08047741,0.079983644
0.07942547,0.24031325,0.22514516,0.39804262,0.057073493
0.09440646,0.3601256,0.3388038,0.038212374,0.16845177
0.20217611,0.11214738,0.18603063,0.20330553,0.2963403
0.21582553,0.07759302,0.22091788,0.17939334,0.30627018
0.10250984,0.13183197,0.29725188,0.3894535,0.07895282
0.216087,0.03492044,0.18491814,0.3613908,0.20268361
0.08258102,0.211056,0.28139186,0.36863405,0.05633709
0.2913802,0.19672796,0.106882475,0.3275673,0.07744212
0.22245637,0.17314228,0.25603098,0.20758435,0.140786
0.119285755,0.08472081,0.3336153,0.10717952,0.35519862
0.18331745,0.26271805,0.31188726,0.09334835,0.1487289
0.27571714,0.18107978,0.18119171,0.29804602,0.06396539
0.21845995,0.20132378,0.1625005,0.12598099,0.2917348
0.258055,0.3026419,0.14038888,0.062058076,0.23685613
0.23435521,0.08794833,0.12634982,0.16049327,0.39085332
0.44271654,0.038302306,0.23176001,0.22222646,0.06499473
0.24319002,0.08388776,0.23743647,0.3167337,0.11875208
0.14783071,0.26739258,0.17505297,0.0911808,0.318543
0.21199743,0.3378736,0.2404206,0.0443747,0.1653337
0.119157694,0.27204803,0.33625165,0.213422,0.059120677
0.27000198,0.1856213,0.22775011,0.26809463,0.04853197
0.29879364,0.27865544,0.10442617,0.114701234,0.20342351
0.36102587,0.07562077,0.104479544,0.15860897,0.3002648
0.18256573,0.29266006,0.25479668,0.1923166,0.077660866
0.16426007,0.032448605,0.3551914,0.23690708,0.21119283
0.10331818,0.2428688,0.23628826,0.13623953,0.28128523
0.08844865,0.14943808,0.3291446,0.062390577,0.37057805
0.19963852,0.29133493,0.23496352,0.14026257,0.13380045
0.13306226,0.15417868,0.4639991,0.14605582,0.10270419
0.24735607,0.14932154,0.14587201,0.16804546,0.28940496
0.47967905,0.09219772,0.088251844,0.14858127,0.19129011
0.3479266,0.07271533,0.19385695,0.22744021,0.1580609
0.22580218,0.06588464,0.47564703,0.04842735,0.18423882
0.17808516,0.049972862,0.29057834,0.27868047,0.20268315
0.29019946,0.10722565,0.29362327,0.098311156,0.21064043
0.15325235,0.26290825,0.0750136,0.2334222,0.27540356
0.18122827,0.414737,0.122061975,0.06756629,0.21440645
0.21334283,0.25059792,0.058475062,0.21877155,0.25881264
0.09055421,0.27164575,0.21445838,0.16255946,0.2607822
0.31264275,0.28887606,0.11774566,0.045409974,0.23532547
0.22711276,0.11175806,0.20506762,0.1772776,0.27878395
0.26621747,0.24270143,0.19336633,0.22998357,0.06773115
0.2483391,0.21107171,0.26357174,0.1443911,0.13262635
0.12608933,0.27448446,0.31827834,0.23417866,0.04696918
0.25177512,0.092410944,0.19022736,0.19827323,0.2673134
0.27185068,0.11827829,0.06580447,0.21247816,0.33158845
0.33720234,0.18536769,0.1269278,0.10925157,0.24125062
0.070589595,0.101131834,0.27160534,0.2849214,0.27175188
0.05930661,0.14153899,0.34297654,0.22271319,0.23346463
0.21932554,0.09080739,0.22308567,0.15459864,0.31218275
0.29496485,0.2665192,0.19968784,0.04303988,0.19578825
0.36815092,0.33916193,0.11408962,0.06267365,0.11592386
0.20067538,0.25772122,0.29431713,0.14113845,0.10614788
0.19590129,0.23148361,0.2823514,0.20433751,0.08592618
0.2929763,0.1110681,0.110049546,0.1809545,0.30495152
0.14196089,0.12512201,0.22895694,0.2696369,0.23432326
0.3550127,0.14674902,0.16400695,0.14473052,0.18950081
0.23354389,0.20283015,0.3738776,0.123908244,0.06584013
0.20515698,0.1387089,0.3021014,0.24496076,0.10907201
0.10553756,0.2728948,0.30770382,0.18520764,0.1286562
0.41536525,0.21944098,0.18819211,0.07711744,0.0998842
0.30916804,0.12723652,0.20572686,0.16260645,0.19526212
0.2959594,0.11711898,0.16741863,0.025000496,0.39450246
0.34797046,0.1885893,0.18078053,0.22077861,0.061881088
0.30652088,0.06841143,0.33360016,0.04641839,0.24504915
0.21249206,0.28430203,0.11762413,0.19557852,0.19000332
0.23000604,0.10936463,0.23871121,0.29781163,0.124106444
0.22120035,0.28294954,0.23775905,0.13182135,0.12626971
0.059936516,0.34603277,0.24948531,0.2792397,0.065305635
0.32005107,0.08922442,0.055847965,0.24506389,0.28981254
0.13664292,0.20178717,0.22068055,0.20451649,0.23637292
0.17428516,0.29824945,0.11936882,0.27860922,0.1294873
0.3619734,0.16492403,0.06813796,0.25933224,0.14563237
0.15822859,0.31825975,0.090840206,0.202746,0.22992542
0.05822867,0.32849848,0.15672548,0.40959197,0.046955403
0.22963831,0.25156298,0.25851503,0.055154968,0.20512873
0.33256355,0.03144176,0.16636223,0.27066216,0.1989703
0.16597295,0.1392414,0.26227888,0.26624778,0.16625898
0.5167983,0.18947658,0.109271295,0.03652172,0.14793202
0.24892,0.17982152,0.22228888,0.11509803,0.2338715
0.03767167,0.38440278,0.12940066,0.35646212,0.09206283
0.15252715,0.22851762,0.18752268,0.32409227,0.10734029
0.24639289,0.1734611,0.10882283,0.25708455,0.21423864
0.15604396,0.19343403,0.12269811,0.29734638,0.23047754
0.121153474,0.2190894,0.16414632,0.25076827,0.24484248
0.09768681,0.091119155,0.32760885,0.3265876,0.15699758
0.38937306,0.21797398,0.21963373,0.07315436,0.099864885
0.17508547,0.4226439,0.27721146,0.02462085,0.10043834
0.113420546,0.06789496,0.24290687,0.2563854,0.31939232
0.19944048,0.09478492,0.16614686,0.30454448,0.2350832
0.2384936,0.20697793,0.1622065,0.18207012,0.21025191
0.12816812,0.21682754,0.21718685,0.28950202,0.14831543
0.30167323,0.1015453,0.03861409,0.20125906,0.35690832
0.2605249,0.28935283,0.14248602,0.18905644,0.11857981
0.11024215,0.05573085,0.28184384,0.3123961,0.23978701
0.35960227,0.04208289,0.08358324,0.19411232,0.32061937
0.12062354,0.13560814,0.26652992,0.3285758,0.14866261
0.17495206,0.079946406,0.26708606,0.22928144,0.24873403
0.19704624,0.14812031,0.1091997,0.3282085,0.21742517
0.32760486,0.07966376,0.13268182,0.22992893,0.23012066
0.24663359,0.11383029,0.36316428,0.19761199,0.07875985
0.176648,0.13244265,0.27118862,0.18963252,0.23008823
0.2305851,0.26612285,0.21784583,0.16789763,0.11754866
0.25861713,0.16480389,0.22968376,0.12260395,0.22429118
0.14037815,0.3084469,0.31428215,0.113063626,0.12382917
0.16175137,0.23468441,0.29248798,0.18111442,0.12996177
0.30551383,0.04254399,0.16324969,0.18159416,0.30709827
0.12933001,0.22229299,0.12000746,0.2796256,0.248744
0.21282528,0.15863903,0.28105623,0.1594597,0.18801981
0.12638994,0.026494922,0.29050338,0.28323787,0.27337393
0.25187907,0.04146456,0.22960827,0.20933466,0.26771337
0.12239777,0.20562008,0.292399,0.24741419,0.13216901
0.24728785,0.091365404,0.2540885,0.2645394,0.14271882
0.22668745,0.2272173,0.04807445,0.24976437,0.2482564
0.21771552,0.04657109,0.30173236,0.15959768,0.27438337
0.21525648,0.046224654,0.3096599,0.23119684,0.19766212
0.34753633,0.18504816,0.21305463,0.16677219,0.087588735
0.23965892,0.08532424,0.343713,0.12839256,0.20291132
0.2326719,0.10305976,0.18507367,0.30120137,0.1779933
0.15642701,0.29867727,0.1382507,0.052013025,0.35463196
0.21940717,0.18922663,0.2395348,0.1342154,0.2176161
0.14654821,0.13119963,0.38134003,0.25125203,0.08966012
0.16217045,0.40761444,0.11775627,0.083505444,0.22895342
0.39860922,0.037192475,0.15906024,0.13470085,0.2704372
0.12124197,0.09261778,0.24855554,0.3510654,0.18651927
0.17514448,0.23557307,0.23270041,0.22664231,0.12993968
0.09202895,0.3273289,0.2860784,0.16898254,0.12558126
0.11107867,0.25179523,0.34712335,0.17254329,0.117459364
0.15247636,0.15792666,0.29438716,0.31105268,0.08415713
0.27255982,0.049594406,0.19731914,0.2923384,0.18818824
0.22986129,0.21235572,0.08900204,0.17568232,0.29309866
0.2366821,0.04569235,0.17608882,0.28934667,0.25219002
0.21521722,0.15431404,0.232073,0.19166256,0.2067332
0.19287434,0.11275601,0.12913908,0.3288277,0.23640287
0.08552867,0.27949494,0.3351082,0.23915593,0.060712326
0.18926159,0.045511972,0.28509724,0.3524785,0.12765066
0.20749389,0.22514862,0.21976642,0.045763567,0.30182743
0.08686731,0.14059736,0.27959442,0.29586664,0.1970743
0.29594108,0.099257454,0.35008538,0.10073038,0.15398563
0.34398615,0.26866862,0.1508382,0.11418571,0.1223213
0.20240335,0.17344308,0.24491332,0.029776061,0.34946418
0.08750369,0.18126722,0.102669574,0.37588903,0.25267053
0.13111043,0.325779,0.22826138,0.12699118,0.18785805
0.18811332,0.37387455,0.3158078,0.044807304,0.077397
0.13430174,0.13294424,0.24236163,0.20837933,0.2820131
0.13377237,0.08631186,0.23125118,0.23519894,0.31346568
0.271486,0.29087618,0.14508472,0.03688545,0.2556676
0.08983489,0.27796027,0.22544031,0.2421699,0.16459465
0.23486005,0.15401432,0.19200227,0.1862658,0.23285756
0.18365094,0.2670898,0.30324805,0.06160375,0.18440746
0.2232379,0.1679468,0.1789731,0.25138137,0.17846087
0.12362295,0.32370988,0.3430314,0.049591947,0.16004378
0.16095047,0.32512096,0.22971573,0.17204247,0.112170346
0.35008228,0.08769152,0.21202329,0.06315674,0.2870462
0.2635535,0.09225593,0.30035678,0.18262067,0.16121316
0.21864207,0.05640272,0.33250895,0.23814617,0.15429999
0.1779517,0.08086373,0.49087843,0.08632149,0.16398458
0.24133153,0.234596,0.12513429,0.18960755,0.20933063
0.13591024,0.16886626,0.2136523,0.23166656,0.2499046
0.28037086,0.11158594,0.20925964,0.20348665,0.19529691
0.1448166,0.17874667,0.19612756,0.10377996,0.37652925
0.10307424,0.3108182,0.31149906,0.25372997,0.020878542
0.2261613,0.10049316,0.29896268,0.1279832,0.24639967
0.13020986,0.08641147,0.24609767,0.21058038,0.32670057
0.19810215,0.11969519,0.07022365,0.3565062,0.25547278
0.31380934,0.18141924,0.26770598,0.051874537,0.18519096
0.26035422,0.26776463,0.13837019,0.21785897,0.11565199
0.1085256,0.26714143,0.19347547,0.3242765,0.10658102
0.34150448,0.18643108,0.06333968,0.35268012,0.05604468
0.22350116,0.31115556,0.28424582,0.026401604,0.15469588
0.19256511,0.23331492,0.20607431,0.14619145,0.2218543
0.2940325,0.09992557,0.10025452,0.25316477,0.2526226
0.2451676,0.15468979,0.16340008,0.11480624,0.32193625
0.2589596,0.04452656,0.22494508,0.23765102,0.23391773
0.32514483,0.13445564,0.104543835,0.19644286,0.23941284
0.3711217,0.15067288,0.2368996,0.14847428,0.09283149
0.39338568,0.16740654,0.29725984,0.067387596,0.07456032
0.059535258,0.35283628,0.14977275,0.32755473,0.11030097
0.27411824,0.07983838,0.1697495,0.15526465,0.32102922
0.16926295,0.23423164,0.23452611,0.104788765,0.2571906
0.12955737,0.23721755,0.30728337,0.088122375,0.23781937
0.19573174,0.15981211,0.2569688,0.104755074,0.28273225
0.28897792,0.10586273,0.19957222,0.19315758,0.21242954
0.27650064,0.09321054,0.22777319,0.11334507,0.28917053
0.16029112,0.19153993,0.09300766,0.29152894,0.2636324
0.30634543,0.23669921,0.12727521,0.17854552,0.15113465
0.16290182,0.19749056,0.3578591,0.14042847,0.14132008
0.24304295,0.08486242,0.05750377,0.35431775,0.26027313
0.18746026,0.20205016,0.21124913,0.19611584,0.20312455
0.23311229,0.09658282,0.14613967,0.33412895,0.19003628
0.3061644,0.16115062,0.11506828,0.2936956,0.12392108
0.0705865,0.36454114,0.29571134,0.12075275,0.1484083
0.21302307,0.31059703,0.15611438,0.07380171,0.24646382
0.18642068,0.0764624,0.24872057,0.30765393,0.18074241
0.23617983,0.14401093,0.16097723,0.15668352,0.30214852
0.1309002,0.032967616,0.20668001,0.2382346,0.3912176
0.17632319,0.1033641,0.29368788,0.19681068,0.22981413
0.12248725,0.08551411,0.25868744,0.2775864,0.2557248
0.11787675,0.16363259,0.23451893,0.1260459,0.3579258
0.14242779,0.1338175,0.38229522,0.05362446,0.28783506
0.24914695,0.11083722,0.13437666,0.39333418,0.11230505
0.27071366,0.07972799,0.281377,0.24374247,0.124438904
0.27606347,0.21274814,0.21429682,0.10303261,0.19385898
0.32795542,0.21436055,0.2244242,0.1753162,0.05794356
0.36911955,0.03531576,0.10555867,0.30219147,0.18781458
0.33089626,0.0882576,0.21371448,0.1721338,0.19499785
0.23022485,0.12503022,0.25630713,0.17898881,0.20944895
0.25851688,0.11929656,0.24351361,0.23767696,0.14099601
0.2576454,0.024154803,0.29998094,0.17413384,0.24408509
0.33315766,0.09344139,0.30619425,0.03224196,0.23496477
0.15043041,0.12344368,0.33860633,0.18399708,0.20352253
0.35854545,0.30377853,0.19307718,0.0410423,0.103556566
0.18800862,0.16758601,0.10756612,0.22552466,0.31131455
0.15737781,0.08124407,0.23527746,0.43906835,0.08703228
0.123218976,0.06251395,0.30559865,0.102073796,0.4065946
