Luminal_Macrophages,Type 2 alveolar,Fibroblasts,Dendritic cells
0.30591422,0.25706857,0.19605413,0.24096307
0.24321629,0.28445238,0.27299267,0.19933863
0.16299844,0.13518456,0.44575068,0.25606632
0.14719081,0.039529428,0.36750644,0.44577336
0.23732342,0.08719352,0.5580356,0.11744747
0.2763883,0.24053246,0.14071968,0.3423595
0.14804056,0.2543258,0.29275903,0.3048746
0.23698367,0.54517365,0.04415715,0.17368546
0.09352846,0.44843107,0.36219504,0.09584542
0.06685248,0.15155321,0.47976327,0.30183104
0.36358747,0.22963533,0.05613379,0.35064343
0.32013753,0.20889266,0.13491574,0.3360541
0.13450134,0.44336867,0.24361375,0.17851622
0.207478,0.024531282,0.27702054,0.49097016
0.3629746,0.20810078,0.19797817,0.23094647
0.33630028,0.029119618,0.14681403,0.48776603
0.21845041,0.32516164,0.37637898,0.080009006
0.20128149,0.29541093,0.29948974,0.20381784
0.22789063,0.061077513,0.4357483,0.27528355
0.11792653,0.25820816,0.2112893,0.41257602
0.4474448,0.4262272,0.026611915,0.0997161
0.39458638,0.051490903,0.103238955,0.45068374
0.20951506,0.3944221,0.114646204,0.28141662
0.17685807,0.308643,0.32612306,0.1883758
0.27210927,0.31858888,0.08569468,0.32360718
0.12475263,0.093210235,0.42813087,0.35390633
0.07330683,0.49866593,0.25532135,0.17270586
0.23365147,0.26257417,0.36514562,0.13862874
0.24167487,0.2523293,0.16989413,0.3361017
0.32504937,0.13953315,0.1536761,0.38174137
0.23575048,0.25031212,0.09718698,0.4167504
0.44064337,0.059220873,0.16210613,0.3380296
0.32817328,0.043530483,0.2409115,0.3873847
0.33949068,0.08012037,0.19173339,0.38865557
0.25639668,0.45595297,0.15762025,0.13003011
0.31568304,0.045106735,0.22700681,0.4122034
0.47200412,0.14535381,0.19221005,0.19043203
0.33125806,0.14760709,0.2524665,0.26866835
0.057664495,0.15465751,0.43934336,0.3483346
0.35378134,0.13969658,0.14638053,0.36014155
0.27265865,0.24979933,0.14484999,0.33269203
0.4598589,0.08081704,0.06797515,0.39134896
0.036777213,0.27936336,0.2856322,0.39822727
0.12494648,0.15222493,0.33489436,0.3879342
0.48216116,0.27843273,0.054198142,0.18520793
0.20393886,0.49329907,0.15349597,0.14926615
0.230914,0.28709558,0.20082766,0.2811628
0.145947,0.3271713,0.23841839,0.28846326
0.050332732,0.23100854,0.501958,0.21670072
0.17884934,0.29416713,0.2881006,0.23888288
0.078834064,0.26089427,0.60474014,0.05553148
0.25038457,0.3712764,0.15202317,0.22631587
0.28941566,0.4947143,0.049763694,0.16610642
0.07102188,0.30142573,0.10681689,0.5207355
0.15934671,0.16283828,0.4617528,0.21606217
0.14596982,0.34480464,0.42124918,0.087976374
0.40848234,0.1405851,0.1585655,0.29236707
0.5986895,0.0813765,0.14432386,0.17561018
0.24288954,0.23896033,0.2186325,0.29951757
0.18605304,0.25517026,0.48497552,0.073801115
0.06890694,0.49638578,0.15683512,0.27787215
0.2221949,0.25652596,0.29355025,0.22772889
0.12207003,0.20745572,0.3714233,0.2990509
0.3553324,0.28553262,0.055951793,0.30318317
0.25981706,0.23844275,0.32232174,0.1794184
0.32148966,0.3153545,0.11049798,0.2526579
0.3297351,0.33601502,0.23703328,0.09721656
0.06342307,0.44414827,0.25293902,0.23948963
0.15366182,0.55280036,0.15065514,0.14288273
0.1479006,0.3900318,0.111386456,0.35068116
0.284131,0.35979033,0.24893995,0.10713877
0.31511134,0.22828567,0.23833703,0.21826597
0.249586,0.14954588,0.29598546,0.30488268
0.111504115,0.32672647,0.38339716,0.17837231
0.31317824,0.24197057,0.20887679,0.23597434
0.3009183,0.2652399,0.16030341,0.27353835
0.26769984,0.26112852,0.20269954,0.26847214
0.14866407,0.33892503,0.15715382,0.3552571
0.31745958,0.26088595,0.15734968,0.2643048
0.32186377,0.34219563,0.14593154,0.19000904
0.20275316,0.44130844,0.023623373,0.33231506
0.065434374,0.6096044,0.18658388,0.13837728
0.4640644,0.17283605,0.029926423,0.33317313
0.24006015,0.08351962,0.47959152,0.19682877
0.6995653,0.13929126,0.056048177,0.10509525
0.28032696,0.46234447,0.13139673,0.12593184
0.20764025,0.20701708,0.25195876,0.3333839
0.26319936,0.22341996,0.23780629,0.27557442
0.12464265,0.4994527,0.055901095,0.3200035
0.030208161,0.42133027,0.28334874,0.2651128
0.24737847,0.2540775,0.13739707,0.361147
0.19983956,0.16935515,0.29469168,0.3361136
0.31550154,0.35788625,0.051375043,0.2752372
0.19960871,0.28244427,0.099735975,0.418211
0.5152359,0.2298706,0.055611283,0.1992822
0.21416566,0.15509368,0.29127434,0.3394664
0.21277504,0.33335593,0.15036713,0.3035019
0.18224487,0.16550072,0.3291538,0.32310066
0.039985042,0.59444,0.33984622,0.025728807
0.35099062,0.35879013,0.25013813,0.040081173
0.30748954,0.2027122,0.32571593,0.16408229
0.31965265,0.2020156,0.20366858,0.27466315
0.20007057,0.35958722,0.26390776,0.17643443
0.291875,0.31687492,0.29888666,0.09236345
0.2254925,0.35211328,0.3331383,0.089255944
0.27006796,0.19648013,0.26229507,0.27115685
0.16542557,0.14974155,0.3499601,0.33487275
0.1372127,0.027544992,0.47352725,0.36171502
0.29435435,0.051448822,0.30729663,0.34690017
0.26137397,0.24185736,0.2759561,0.22081257
0.17308019,0.41200086,0.3846229,0.030296056
0.41196436,0.093152024,0.1485164,0.3463672
0.32423425,0.3034864,0.2558548,0.11642452
0.19092283,0.3445416,0.15995689,0.30457875
0.23974495,0.40149853,0.022790268,0.33596635
0.2199273,0.46739212,0.25247955,0.060201116
0.36877644,0.23893113,0.026437532,0.3658549
0.07497279,0.04920796,0.32366577,0.55215347
0.16548152,0.3179743,0.2546583,0.26188585
0.27642316,0.26722652,0.29046375,0.16588652
0.3522917,0.10559668,0.2826295,0.25948215
0.39202592,0.27554214,0.15851404,0.17391798
0.23941734,0.08919107,0.2371465,0.43424502
0.07739604,0.43210188,0.19465609,0.29584602
0.117045745,0.52404875,0.10104244,0.25786307
0.20474662,0.043222677,0.15519184,0.59683883
0.28871647,0.14397642,0.23431964,0.3329874
0.09477209,0.18996663,0.35058564,0.3646756
0.24619536,0.24680582,0.19678882,0.31020996
0.2301575,0.1050198,0.5898441,0.0749786
0.21981864,0.3136379,0.25119904,0.21534437
0.115573674,0.33604848,0.060936064,0.48744178
0.31862158,0.23138987,0.24497773,0.20501088
0.3776998,0.40402746,0.046159804,0.17211296
0.4587131,0.08267234,0.09498347,0.363631
0.094674654,0.095447674,0.2635779,0.54629976
0.29072347,0.19098684,0.33706158,0.18122807
0.20287074,0.30394018,0.2808898,0.21229933
0.075655565,0.49940163,0.055837024,0.36910576
0.24438459,0.3408154,0.29893053,0.1158695
0.35992107,0.18909685,0.29882073,0.15216134
0.24146491,0.096258186,0.33990714,0.32236975
0.39468125,0.22922933,0.024988463,0.35110095
0.058229093,0.4008528,0.36501256,0.17590556
0.37175024,0.3253939,0.2128997,0.08995617
0.42082956,0.045758184,0.03562941,0.4977828
0.25612703,0.26228267,0.2522072,0.22938313
0.054148063,0.3020008,0.29679012,0.347061
0.12262791,0.26212552,0.3727556,0.24249098
0.097277515,0.06673964,0.6713677,0.16461508
0.25756857,0.14961381,0.27257937,0.3202382
0.2535365,0.2884596,0.20298779,0.25501612
0.069054574,0.45928866,0.4374462,0.03421046
0.17652597,0.18308493,0.33891174,0.30147737
0.24818443,0.48156047,0.04759753,0.22265759
0.15628217,0.6319798,0.1296793,0.08205872
0.33968797,0.1302918,0.21962573,0.31039447
0.0750812,0.3462343,0.4090096,0.16967495
0.30445018,0.3379752,0.09225524,0.26531932
0.34820557,0.39903155,0.049602933,0.20315997
0.0401244,0.06823999,0.61372775,0.27790788
0.14878917,0.30994108,0.14225343,0.39901632
0.1695903,0.30082962,0.19647475,0.33310533
0.074627884,0.75497043,0.06487674,0.105524965
0.18803051,0.3872636,0.15535995,0.26934594
0.38493893,0.34692878,0.050953995,0.21717829
0.030994285,0.5682549,0.33060935,0.070141464
0.028013196,0.60764736,0.04979723,0.31454217
0.18809517,0.20491362,0.4967058,0.11028539
0.19544789,0.24339068,0.29482543,0.26633596
0.23252735,0.14528406,0.2923192,0.32986942
0.08757218,0.20876814,0.46921006,0.23444961
0.19552338,0.16674417,0.15653278,0.48119968
0.31276953,0.29651266,0.18312559,0.2075922
0.25579938,0.2644248,0.19231082,0.287465
0.27808025,0.30391338,0.32749102,0.090515316
0.25170285,0.09213557,0.39958766,0.2565739
0.3191477,0.14682859,0.30087993,0.23314378
0.31094638,0.30135754,0.050561156,0.33713493
0.44376862,0.15145418,0.06244085,0.34233633
0.39126927,0.10023718,0.2539533,0.25454026
0.13617092,0.21387045,0.37596637,0.2739923
0.46996608,0.09574958,0.24477811,0.18950622
0.72734076,0.07558282,0.091027044,0.1060494
0.23967737,0.30758044,0.21116002,0.24158219
0.17342564,0.11707974,0.59071004,0.11878466
0.04937756,0.46146932,0.24527578,0.24387737
0.44660726,0.14367786,0.20591418,0.20380066
0.15730283,0.35239705,0.2016865,0.28861365
0.21163003,0.30424765,0.37671146,0.107410856
0.390186,0.26028076,0.24020687,0.10932638
0.2748405,0.2231147,0.2333927,0.2686521
0.34851214,0.14669235,0.1494318,0.35536367
0.4598222,0.07222556,0.06515858,0.4027937
0.24071267,0.45967993,0.056556575,0.24305083
0.4795628,0.06609978,0.15023045,0.30410695
0.05413939,0.37465006,0.33474204,0.23646851
0.33071944,0.055213213,0.333485,0.28058234
0.09083392,0.46709147,0.21204516,0.23002943
0.12400963,0.4809428,0.25621644,0.13883111
0.19230379,0.33067602,0.25503045,0.22198978
0.17893668,0.595217,0.060651142,0.16519518
0.43791315,0.17116128,0.050792802,0.34013283
0.39396656,0.14341776,0.23887046,0.22374521
0.08763675,0.2779631,0.34810778,0.28629243
0.15600838,0.41271958,0.28610677,0.1451652
0.033458527,0.42597643,0.4216852,0.118879855
0.3228518,0.1784555,0.1609749,0.3377178
0.2967718,0.38477552,0.15044537,0.16800727
0.2904084,0.23925905,0.2780379,0.19229461
0.2368717,0.1993665,0.20065552,0.36310622
0.049299743,0.31263292,0.40821454,0.2298528
0.26390117,0.2998289,0.38688758,0.04938234
0.2365873,0.25077605,0.23754194,0.2750947
0.59788126,0.265822,0.050038803,0.08625791
0.17350337,0.47173995,0.3043123,0.050444413
0.22892036,0.3149908,0.19361593,0.2624729
0.4280389,0.046723947,0.11393346,0.41130367
0.37709567,0.1349647,0.098973125,0.38896653
0.035201233,0.33094501,0.38686892,0.24698485
0.2959522,0.35133722,0.26379815,0.088912465
0.07743007,0.5964847,0.11163181,0.21445335
0.32087237,0.09699937,0.42913982,0.15298846
0.27029207,0.26083326,0.18083455,0.28804007
0.2928534,0.21523184,0.15762553,0.33428925
0.4106429,0.3559538,0.051432066,0.18197115
0.2863345,0.28948566,0.1511593,0.27302057
0.3313304,0.27468115,0.31530803,0.078680456
0.3636794,0.25205323,0.19914155,0.18512578
0.29176602,0.38973758,0.1870439,0.1314525
0.43791306,0.13560313,0.105526574,0.32095724
0.2556261,0.23635724,0.39296234,0.115054235
0.16460188,0.30472556,0.26877666,0.2618959
0.15159085,0.15452586,0.21210095,0.4817823
0.25744444,0.29950705,0.19038269,0.25266576
0.41915438,0.3487076,0.09848701,0.13365102
0.52859807,0.35752538,0.02312895,0.09074756
0.2174076,0.295021,0.06283017,0.42474127
0.3102696,0.051853016,0.15904963,0.47882774
